"","screenname","tweets"
"37","victorstileplus","RT @MerolaTileNY: So excited to announce our ALL WOOD tile planks &amp; hexagons are finally here!! What's your vote -- Need it or blah? https:<U+0089><db>_"
"38","mlbuild","@MerolaTileNY @coshamie @CapeReed @justclosedotcom Same you to! Hope your week is starting off well!"
"39","amidacocinas","@MerolaTileNY Gracias por seguirnos :) Si quieres saber un poco m<cc><c1>s sobre Amida, visita nuestra web: https://t.co/VHWDZWqbOW"
"40","gb_atelier","The latest The gb atelier Daily! https://t.co/0ENVq34vW8 Thanks to @MerolaTileNY @bdp_com @CIATechnologist #interiordesign #architecture"
"41","pavinteriors","@MerolaTileNY Thank you for following us! Looking to improve your #home? https://t.co/heEwTHU8TQ #Surrey #Furniture"
"42","diannedecor","RT @MerolaTileNY: If you like home decor, you HAVE to check out these 15 AWESOME bathroom trends!! https://t.co/RXKgcNAWLU https://t.co/hzE<U+0089><db>_"
"43","RethinkInterior","Hello + thanks for the follow @MerolaTileNY @princerebeluk @foamandbubbles @ashleysbuilding @CATaxHotel1 @DannyQide16 @authenteak"
"44","WestfieldIdeal","RT @MerolaTileNY: Light, bright, and so beautiful... https://t.co/nZHkWTHifB #houzz #interiordesign #architecture https://t.co/Of3D8zyDQZ"
"45","Cartoon_Iran","@justclosedotcom @MerolaTileNY wood floor bad ideas"
"46","tkpleslie","RT @MerolaTileNY @KBtribechat We are HUGE fans of Houzz, but love seeing all the articles floating around Twitter too! #kbtribechat"
"47","thertastore","RT @MerolaTileNY: Have you heard of painting tile? Neither have we!! But this makes it look super easy! https://t.co/PH85zFMd2j https://t.c<U+0089><db>_"
"48","baseinterior","@MerolaTileNY Thank you for following! We've followed you back! #InteriorDesign #London https://t.co/eI2KuOWt7q"
"49","NContours","Gorgeous!! @MerolaTileNY"
"50","SpainsBestHomes","RT @MerolaTileNY: Our new SUGAR series is here! Yay! #tile #interiordesign https://t.co/HrVTYCpu32"
"51","ToucheaDecor","RT @MerolaTileNY: A beautiful San Fransisco beach house with a mix of old and new! https://t.co/zMDNRRjM6Q #houzz #interiordesign https://t<U+0089><db>_"
"52","lillianwong","#thanks @MerolaTileNY @socialhulpnl @YolandaGear thanks for the recent follow. Much appreciated :)"
"53","4seasonsleeds","Thanks @thermonet_ufh @BALtiling @MerolaTileNY for being top engaged community members this week :) &gt;&gt; Want this _<U+0660><d2>? https://t.co/G6yTKpchRk"
"54","aapkadecoronlin","RT MerolaTileNY: Who doesn't love a sleek back splash? #interiordesign #backsplash #homedecor https://t.co/mj0rCQzwdp #decorideas #AapkaD<U+0329><U+0089><db>_"
"55","InnociUSA","@MerolaTileNY love the colors"
"56","B2B_Wholesales","RT @MerolaTileNY: A little motivation to have a great week! Happy Monday, everybody! #MondayMotivation https://t.co/sZzwrFgBjP"
"57","woodfordtiling1","RT @MerolaTileNY: Which style do you like better: Penny Round or Hexagons? We want to know!"
"58","baseinterior","@MerolaTileNY Thank you for following! We've followed you back! #InteriorDesign #London https://t.co/eI2KuOESfS"
"59","neighbor6","@MerolaTileNY I live in 72205 Arkansas. Looking for specific tile pattern. BLUE&amp;WHITE star shape."
"60","CarrelageFormat","RT @MerolaTileNY: You have to see this AMAZING Wood Look Tile! Simply Gorgeous....https://t.co/w9Iyngojd4 https://t.co/kuN9zl8i1t"
"61","EqualityGold","RT @LeadToday: Random RT Thanks @DelJeff @UncleMax313 @LpezFelipe @EscorcioMarcel @TheWineingerCo @EqualityGold @mhliverpool @MerolaTileNY<U+0089><db>_"
"62","studiobouerr","RT @MerolaTileNY: Crushing on this patterned hexagon tile! https://t.co/uuBIyq9zQq https://t.co/61Rb7sajHr"
"63","Teriwutz","RT @MerolaTileNY: You should really read these tips before considering a galley kitchen... https://t.co/pHbA5s6iVf #interiordesign https://<U+0089><db>_"
"64","ARISTABathDist","@MerolaTileNY Thanks for the follow!"
"65","AllanikaSB","RT @MerolaTileNY: Do you know what a ""Rectified"" tile is? Reply w/ your answers! (Hint: Porcelain planks are usually Rectified!) #tile #int<U+0089><db>_"
"66","hollyholdu","RT @MerolaTileNY: Take a look at our incoming line, SUGAR. Love it? We do! https://t.co/mnz2jD8CsU"
"67","rischegroup","@MerolaTileNY Thanks for following"
"68","CarpetExpressGA","#FF Thank you for following Carpet Express! @Bonasystems @NeytraLnost @MerolaTileNY"
"69","Tiles_Adila","Thanks for joining our conversation! @MerolaTileNY @AmericanTileDep @heritageclay @vailbuildersinc @michaelskbakah @Brian87089199"
"70","InsideSquadNYC","Thanks for following! @PiperCrane @AllAboutTHEPACT @FefoFinance @seanbint @tracksandtires @NilfiskVacuums @MerolaTileNY @PierreHabitat"
"71","TileJunction_C","RT @MerolaTileNY: @luxurybathe @ChristianSiding @IFJmagazine @TileJunction_C Glad to connect with you! Thanks for the follow everyone! :)"
"72","CarrelageFormat","RT @MerolaTileNY: Our simple and elegant Hampton is now available...Contact your sales rep for a free sample today! https://t.co/3w71Uip09X"
"73","ZirconToolPro",".@merolaTileNY @astonbath You're invited. #diytrends, Thurs. 9/15 at 11 am PST. #success #business #marketing https://t.co/2Lv0OMfa7L"
